model,modelAge,name,age,mileage,state,owners,bodyType,numberOfDoors,fuelType,vehicleTransmission,drive,color,equipment,price,engineDisplacement,enginePower,technicalPassport
5ER,4,530i,2,45357,не битый,1,sedan,4,petrol,AT,4wd,black,,2747000,2.0,249,1
5ER,11,530d,9,172467,не битый,2,sedan,4,diesel,AT,4wd,black,,1310000,3.0,258,1
1ER,9,116i,8,193000,не битый,3,hatchback,5,petrol,AT,rwd,white,Базовая,520000,1.6,136,1
X5,10,30d,8,104153,не битый,1,SUV,5,diesel,AT,4wd,grey,,1759000,3.0,245,1
X6,6,35i,4,42100,не битый,2,SUV,5,petrol,AT,4wd,white,Базовая,2749900,3.0,306,1
X5,17,None,16,260000,не битый,3,SUV,5,petrol,AT,4wd,black,Базовая,420000,4.8,360,1
X6,13,35i,12,170000,не битый,1,SUV,5,petrol,AT,4wd,black,Базовая,935000,3.0,306,1
5ER,32,540i,31,230000,не битый,3,sedan,4,petrol,MT,rwd,red,Базовая,350000,4.0,286,1
7ER,15,740Li,15,267000,не битый,3,sedan,4,petrol,AT,rwd,black,Базовая,512000,4.0,306,1
1ER,9,116i,7,84000,не битый,3,hatchback,5,petrol,AT,rwd,white,,499000,1.6,136,1
X5,6,None,5,88500,не битый,2,SUV,5,petrol,AT,4wd,blue,,3690000,4.4,575,1
X5,14,None,12,221300,не битый,1,SUV,5,diesel,AT,4wd,black,Базовая,810000,3.0,286,1
5ER,4,520d,1,73000,не битый,1,sedan,4,diesel,AT,4wd,black,Business,2500000,2.0,190,1
X6,13,50i,9,55468,не битый,2,SUV,5,petrol,AT,4wd,white,Базовая,1100000,4.4,407,1
3ER,12,320d,8,158000,не битый,3,coupe,2,diesel,AT,rwd,blue,Базовая,1000000,2.0,184,1
7ER,19,745Li,18,345000,не битый,3,sedan,4,petrol,AT,rwd,black,Базовая,380000,4.4,333,1
6ER,17,645i,15,200000,не битый,3,cabriolet,2,petrol,AT,rwd,white,Базовая,890000,4.4,333,1
3ER,9,328i,7,110479,не битый,3,sedan,4,petrol,AT,4wd,dark_blue,Luxury Line,1390000,2.0,245,1
5ER,13,530xi,13,220000,не битый,3,sedan,4,petrol,AT,4wd,grey,Базовая,700000,3.0,272,1
X3,6,20i,5,95000,не битый,1,SUV,5,petrol,AT,4wd,black,Базовая,1540000,2.0,184,1
2ER,3,218i,2,33060,не битый,1,coupe,2,petrol,AT,rwd,white,,1735000,1.5,136,1
7ER,12,750Li,10,245842,не битый,1,sedan,4,petrol,AT,4wd,black,,713000,4.4,407,1
X1,5,20i,5,157900,не битый,1,SUV,5,petrol,AT,4wd,dark_blue,Advantage,1380000,2.0,192,1
1ER,9,116i,7,167000,не битый,3,hatchback,5,petrol,AT,rwd,red,Базовая,590000,1.6,136,1
5ER,25,520i,23,314000,не битый,2,sedan,4,petrol,AT,rwd,dark_blue,Базовая,500000,2.0,150,1
4ER,3,430i,3,53000,не битый,1,cabriolet,2,petrol,AT,rwd,black,Base,2300000,2.0,249,1
5ER,18,530i,14,312749,не битый,3,sedan,4,petrol,AT,rwd,black,,587000,3.0,258,1
X3,10,35i,9,110000,не битый,2,SUV,5,petrol,AT,4wd,grey,,1150000,3.0,306,1
X5,10,35i,10,180000,не битый,3,SUV,5,petrol,AT,4wd,black,,960000,3.0,306,1
X5,10,30d,9,150000,не битый,2,SUV,5,diesel,AT,4wd,brown,Exclusive,1770000,3.0,245,1
7ER,19,760Li,16,194000,не битый,2,sedan,4,petrol,AT,rwd,black,Базовая,415000,6.0,445,1
1ER,9,116i,8,170000,не битый,3,hatchback,5,petrol,AT,rwd,white,Базовая,630000,1.6,136,1
5ER,18,525i,14,279898,не битый,3,sedan,4,petrol,AT,rwd,black,Базовая,530000,2.5,218,1
X6,13,35d,11,235632,не битый,3,SUV,5,diesel,AT,4wd,dark_blue,Базовая,1070000,3.0,286,1
X5,21,None,20,182000,не битый,3,SUV,5,petrol,AT,4wd,silver,Базовая,349000,3.0,231,1
3ER,15,320d,13,282000,не битый,1,sedan,4,diesel,AT,rwd,black,Базовая,449000,2.0,177,1
X7,2,40i,1,1619,не битый,1,SUV,5,petrol,AT,4wd,grey,Base,6420141,3.0,340,1
